"Time (CET/CEST)","Day-ahead Total Load Forecast [MW] - Germany (DE)","Actual Total Load [MW] - Germany (DE)"
"04.01.2021 00:45 - 04.01.2021 01:00","42774","47000"
"04.01.2021 01:00 - 04.01.2021 01:15","42058","46421"
"04.01.2021 01:15 - 04.01.2021 01:30","41517","45987"
"04.01.2021 01:30 - 04.01.2021 01:45","41353","45902"
"04.01.2021 01:45 - 04.01.2021 02:00","40952","45714"
"04.01.2021 02:00 - 04.01.2021 02:15","40834","45840"
"04.01.2021 02:15 - 04.01.2021 02:30","40777","45794"
"04.01.2021 02:30 - 04.01.2021 02:45","40730","45801"
"04.01.2021 02:45 - 04.01.2021 03:00","40618","45766"
"04.01.2021 03:00 - 04.01.2021 03:15","40639","45693"
"04.01.2021 03:15 - 04.01.2021 03:30","41100","45725"
"04.01.2021 03:30 - 04.01.2021 03:45","40884","45802"
"04.01.2021 03:45 - 04.01.2021 04:00","41219","45959"
"04.01.2021 04:00 - 04.01.2021 04:15","41865","46467"
"04.01.2021 04:15 - 04.01.2021 04:30","42240","46733"
"04.01.2021 04:30 - 04.01.2021 04:45","42549","47247"
"04.01.2021 04:45 - 04.01.2021 05:00","42848","47661"
"04.01.2021 05:00 - 04.01.2021 05:15","43291","48469"
"04.01.2021 05:15 - 04.01.2021 05:30","43898","49063"
"04.01.2021 05:30 - 04.01.2021 05:45","44561","49906"
"04.01.2021 05:45 - 04.01.2021 06:00","45307","51007"
"04.01.2021 06:00 - 04.01.2021 06:15","46883","52967"
"04.01.2021 06:15 - 04.01.2021 06:30","48462","54463"
"04.01.2021 06:30 - 04.01.2021 06:45","49335","55931"
"04.01.2021 06:45 - 04.01.2021 07:00","50213","57584"
"04.01.2021 07:00 - 04.01.2021 07:15","51274","60062"
"04.01.2021 07:15 - 04.01.2021 07:30","52472","61065"
"04.01.2021 07:30 - 04.01.2021 07:45","53763","61988"
"04.01.2021 07:45 - 04.01.2021 08:00","54651","62809"
"04.01.2021 08:00 - 04.01.2021 08:15","56000","64182"
"04.01.2021 08:15 - 04.01.2021 08:30","56894","64771"
"04.01.2021 08:30 - 04.01.2021 08:45","57120","65339"
"04.01.2021 08:45 - 04.01.2021 09:00","57554","66036"
"04.01.2021 09:00 - 04.01.2021 09:15","57976","66493"
"04.01.2021 09:15 - 04.01.2021 09:30","58653","66942"
"04.01.2021 09:30 - 04.01.2021 09:45","59150","67435"
"04.01.2021 09:45 - 04.01.2021 10:00","59486","67807"
"04.01.2021 10:00 - 04.01.2021 10:15","59856","67984"
"04.01.2021 10:15 - 04.01.2021 10:30","60160","68361"
"04.01.2021 10:30 - 04.01.2021 10:45","60806","68656"
"04.01.2021 10:45 - 04.01.2021 11:00","61654","69082"
"04.01.2021 11:00 - 04.01.2021 11:15","61858","69648"
"04.01.2021 11:15 - 04.01.2021 11:30","62359","70184"
"04.01.2021 11:30 - 04.01.2021 11:45","62795","70569"
"04.01.2021 11:45 - 04.01.2021 12:00","62677","70844"
"04.01.2021 12:00 - 04.01.2021 12:15","62309","71048"
"04.01.2021 12:15 - 04.01.2021 12:30","62368","71040"
"04.01.2021 12:30 - 04.01.2021 12:45","62307","71037"
"04.01.2021 12:45 - 04.01.2021 13:00","62171","70770"
"04.01.2021 13:00 - 04.01.2021 13:15","62066","70685"
"04.01.2021 13:15 - 04.01.2021 13:30","61737","70518"
"04.01.2021 13:30 - 04.01.2021 13:45","61239","70238"
"04.01.2021 13:45 - 04.01.2021 14:00","60543","69563"
"04.01.2021 14:00 - 04.01.2021 14:15","60470","69590"
"04.01.2021 14:15 - 04.01.2021 14:30","60227","69288"
"04.01.2021 14:30 - 04.01.2021 14:45","60201","69140"
"04.01.2021 14:45 - 04.01.2021 15:00","59921","68959"
"04.01.2021 15:00 - 04.01.2021 15:15","59859","69362"
"04.01.2021 15:15 - 04.01.2021 15:30","59322","69109"
"04.01.2021 15:30 - 04.01.2021 15:45","59361","68920"
"04.01.2021 15:45 - 04.01.2021 16:00","59228","68661"
"04.01.2021 16:00 - 04.01.2021 16:15","59288","69327"
"04.01.2021 16:15 - 04.01.2021 16:30","59724","69464"
"04.01.2021 16:30 - 04.01.2021 16:45","60183","69993"
"04.01.2021 16:45 - 04.01.2021 17:00","60791","70775"
"04.01.2021 17:00 - 04.01.2021 17:15","61258","71337"
"04.01.2021 17:15 - 04.01.2021 17:30","61976","71716"
"04.01.2021 17:30 - 04.01.2021 17:45","62845","71947"
"04.01.2021 17:45 - 04.01.2021 18:00","63240","72097"
"04.01.2021 18:00 - 04.01.2021 18:15","63011","71842"
