labels,2015,2016,2017,2018,2019,2020,2021,low_shock,high_shock
173,23479.5,20361.25,20281.75,17495.5,16799.75,15364.25,15530.25,23479.5,17495.5
174,24959.5,21716.25,20038,19600.75,17413.75,15550.75,15772.25,24959.5,19600.75
175,26345.5,22459.75,20371.75,21284,18395.75,16605,16239,26345.5,21284
176,28677.5,22984.25,21187.25,22664,18046.25,16624,17397.5,28677.5,22664
177,28138.5,22185.5,21185,21839.25,17732.5,16328.5,20031.25,28138.5,21839.25
178,27195,21664,21699,21080.25,17851.75,16410.75,19810,27195,21080.25
179,28676,21212.75,23741.25,20387,17265.75,16667.5,20187.75,28676,20387
180,28364.5,22180.75,22059.5,19836.25,16801.5,15914.25,18706.75,28364.5,19836.25
181,28370,23242,21481.75,18987.5,16993.75,15974.75,17505.25,28370,18987.5
182,27384.5,23227,21193.5,18820,17171.25,16500.5,16829,27384.5,18820
183,26609.5,24906.5,21369.25,19427,17931.25,18933.25,17708,26609.5,19427
184,27308.75,25398.25,22100.75,18898.75,18489.75,18663.5,18799.5,27308.75,18898.75
185,28427,25347.5,24202,19874.5,20162,19711.5,20166,28427,19874.5
186,26909.5,26467.75,24878.75,18968,19396.25,20001.25,19848.5,26909.5,18968
187,26374.5,25798.25,23805.5,18621.75,18957.25,18955,17543.5,26374.5,18621.75
188,24447.25,24661.25,22968.75,18366.25,16966.75,18156,16544.5,24447.25,18366.25
189,22981.5,23122.25,21663,18316.25,16682.5,16317.75,16032.25,22981.5,18316.25
190,24290.5,23142.25,21933.75,17686.25,17098,16069.25,16177.25,24290.5,17686.25
191,23546,21880.75,21294,17716,16768.75,16647.5,16105.5,23546,17716
192,29238.75,21272.5,20365.5,18064,16568.25,15859,16524.75,29238.75,18064
193,21510.75,20895.5,20610.5,17626.5,16517,15797.25,16284.25,21510.75,17626.5
194,22001.25,20397.5,20615.5,17860.25,16581,15656,16145.5,22001.25,17860.25
195,21336.5,20570.5,21120.75,17623.25,16681.5,15640,15768.25,21336.5,17623.25
196,21185,20763,21460.5,17463,16746.5,15652,15711.5,21185,17463
197,21440,20473.25,21332.75,17604.75,16874.25,15886,15600.25,21440,17604.75
198,23280.5,20348.25,23255.75,18478.25,17503,16948.75,15679,23280.5,18478.25
199,25283.5,20866.75,26348,19062.25,18026,19437,15804.75,25283.5,19062.25
200,26068.5,22111,26405.5,19011.25,18458.75,18809.25,15870.5,26068.5,19011.25
201,26369.25,22686.25,26277.25,18530.25,18391.25,17363,15931.5,26369.25,18530.25
202,26101.5,22633.5,26792,17577.5,18275.25,15963,16399.75,26101.5,17577.5
203,26909.5,23240.75,26477.25,17630.25,17724.25,15417.25,16602.5,26909.5,17630.25
204,25706.75,23247.75,25625.75,17585.5,17404.25,15486.25,16357,25706.75,17585.5
