labels,2015,2016,2017,2018,2019,2020,2021,2022
147,20.593375,14.25125,14.8609375,21.8545625,10.6145,6.202625,37.0235625,154.41125
148,20.5665,14.24166667,14.85208333,21.85825,10.69766667,6.315833333,37.31708333,156.62
149,20.539625,14.23208333,14.84322917,21.8619375,10.78083333,6.429041667,37.61060417,158.82875
150,20.51275,14.2225,14.834375,21.865625,10.864,6.54225,37.904125,161.0375
151,20.485875,14.21291667,14.82552083,21.8693125,10.94716667,6.655458333,38.19764583,163.24625
152,20.459,14.20333333,14.81666667,21.873,11.03033333,6.768666667,38.49116667,165.455
153,20.432125,14.19375,14.8078125,21.8766875,11.1135,6.881875,38.7846875,167.66375
154,20.40525,14.18416667,14.79895833,21.880375,11.19666667,6.995083333,39.07820833,169.8725
155,20.378375,14.17458333,14.79010417,21.8840625,11.27983333,7.108291667,39.37172917,172.08125
156,20.3515,14.165,14.78125,21.88775,11.363,7.2215,39.66525,174.29
157,20.324625,14.15541667,14.77239583,21.8914375,11.44616667,7.334708333,39.95877083,176.49875
158,20.29775,14.14583333,14.76354167,21.895125,11.52933333,7.447916667,40.25229167,178.7075
159,20.270875,14.13625,14.7546875,21.8988125,11.6125,7.561125,40.5458125,180.91625
160,20.244,14.12666667,14.74583333,21.9025,11.69566667,7.674333333,40.83933333,183.125
161,20.217125,14.11708333,14.73697917,21.9061875,11.77883333,7.787541667,41.13285417,185.33375
162,20.19025,14.1075,14.728125,21.909875,11.862,7.90075,41.426375,187.5425
163,20.163375,14.09791667,14.71927083,21.9135625,11.94516667,8.013958333,41.71989583,189.75125
164,20.1365,14.08833333,14.71041667,21.91725,12.02833333,8.127166667,42.01341667,191.96
165,20.109625,14.07875,14.7015625,21.9209375,12.1115,8.240375,42.3069375,194.16875
166,20.08275,14.06916667,14.69270833,21.924625,12.19466667,8.353583333,42.60045833,196.3775
167,20.055875,14.05958333,14.68385417,21.9283125,12.27783333,8.466791667,42.89397917,198.58625
168,20.029,14.05,14.675,21.932,12.361,8.58,43.1875,200.795
169,20.002125,13.99041667,14.747375,22.0468125,12.4526875,8.693208333,43.48102083,202.55375
170,19.97525,13.93083333,14.81975,22.161625,12.544375,8.806416667,43.77454167,204.3125
171,19.948375,13.87125,14.892125,22.2764375,12.6360625,8.919625,44.0680625,206.07125
172,19.9215,13.81166667,14.9645,22.39125,12.72775,9.032833333,44.36158333,207.83
173,19.894625,13.75208333,15.036875,22.5060625,12.8194375,9.146041667,44.65510417,209.58875
174,19.86775,13.6925,15.10925,22.620875,12.911125,9.25925,44.948625,211.3475
175,19.840875,13.63291667,15.181625,22.7356875,13.0028125,9.372458333,45.24214583,213.10625
176,19.814,13.57333333,15.254,22.8505,13.0945,9.485666667,45.53566667,214.865
177,19.787125,13.51375,15.326375,22.9653125,13.1861875,9.598875,45.8291875,216.62375
178,19.76025,13.45416667,15.39875,23.080125,13.277875,9.712083333,46.12270833,218.3825
179,19.733375,13.39458333,15.471125,23.1949375,13.3695625,9.825291667,46.41622917,220.14125
180,19.7065,13.335,15.5435,23.30975,13.46125,9.9385,46.70975,221.9
181,19.679625,13.27541667,15.615875,23.4245625,13.5529375,10.05170833,47.00327083,223.65875
182,19.65275,13.21583333,15.68825,23.539375,13.644625,10.16491667,47.29679167,225.4175
183,19.625875,13.15625,15.760625,23.6541875,13.7363125,10.278125,47.5903125,227.17625
184,19.599,13.09666667,15.833,23.769,13.828,10.39133333,47.88383333,228.935
185,19.572125,13.03708333,15.905375,23.8838125,13.9196875,10.50454167,48.17735417,230.69375
186,19.54525,12.9775,15.97775,23.998625,14.011375,10.61775,48.470875,232.4525
187,19.518375,12.91791667,16.050125,24.1134375,14.1030625,10.73095833,48.76439583,234.21125
188,19.4915,12.85833333,16.1225,24.22825,14.19475,10.84416667,49.05791667,235.97
189,19.464625,12.79875,16.194875,24.3430625,14.2864375,10.957375,49.3514375,237.72875
190,19.43775,12.73916667,16.26725,24.457875,14.378125,11.07058333,49.64495833,239.4875
191,19.410875,12.67958333,16.339625,24.5726875,14.4698125,11.18379167,49.93847917,241.24625
192,19.384,12.62,16.412,24.6875,14.5615,11.297,50.232,243.005
193,19.34283333,12.74139583,16.45416667,24.8023125,14.6531875,11.3755,52.04004167,240.363125
194,19.30166667,12.86279167,16.49633333,24.917125,14.744875,11.454,53.84808333,237.72125
195,19.2605,12.9841875,16.5385,25.0319375,14.8365625,11.5325,55.656125,235.079375
196,19.21933333,13.10558333,16.58066667,25.14675,14.92825,11.611,57.46416667,232.4375
197,19.17816667,13.22697917,16.62283333,25.2615625,15.0199375,11.6895,59.27220833,229.795625
198,19.137,13.348375,16.665,25.376375,15.111625,11.768,61.08025,227.15375
199,19.09583333,13.46977083,16.70716667,25.4911875,15.2033125,11.8465,62.88829167,224.511875
200,19.05466667,13.59116667,16.74933333,25.606,15.295,11.925,64.69633333,221.87
201,19.0135,13.7125625,16.7915,25.7208125,15.3866875,12.0035,66.504375,219.228125
202,18.97233333,13.83395833,16.83366667,25.835625,15.478375,12.082,68.31241667,216.58625
203,18.93116667,13.95535417,16.87583333,25.9504375,15.5700625,12.1605,70.12045833,213.944375
204,18.89,14.07675,16.918,26.06525,15.66175,12.239,71.9285,211.3025
205,18.84883333,14.19814583,16.96016667,26.1800625,15.7534375,12.3175,73.73654167,208.660625
206,18.80766667,14.31954167,17.00233333,26.294875,15.845125,12.396,75.54458333,206.01875
207,18.7665,14.4409375,17.0445,26.4096875,15.9368125,12.4745,77.352625,203.376875
208,18.72533333,14.56233333,17.08666667,26.5245,16.0285,12.553,79.16066667,200.735
209,18.68416667,14.68372917,17.12883333,26.6393125,16.1201875,12.6315,80.96870833,198.093125
210,18.643,14.805125,17.171,26.754125,16.211875,12.71,82.77675,195.45125
211,18.60183333,14.92652083,17.21316667,26.8689375,16.3035625,12.7885,84.58479167,192.809375
212,18.56066667,15.04791667,17.25533333,26.98375,16.39525,12.867,86.39283333,190.1675
213,18.5195,15.1693125,17.2975,27.0985625,16.4869375,12.9455,88.200875,187.525625
214,18.47833333,15.29070833,17.33966667,27.213375,16.578625,13.024,90.00891667,184.88375
215,18.43716667,15.41210417,17.38183333,27.3281875,16.6703125,13.1025,91.81695833,182.241875
216,18.396,15.5335,17.424,27.443,16.762,13.181,93.625,179.6
217,18.39229167,15.65489583,17.46616667,27.28491667,16.737625,13.2170625,92.45808333,176.958125
218,18.38858333,15.77629167,17.50833333,27.12683333,16.71325,13.253125,91.29116667,174.31625
219,18.384875,15.8976875,17.5505,26.96875,16.688875,13.2891875,90.12425,171.674375
220,18.38116667,16.01908333,17.59266667,26.81066667,16.6645,13.32525,88.95733333,169.0325
221,18.37745833,16.14047917,17.63483333,26.65258333,16.640125,13.3613125,87.79041667,166.390625
222,18.37375,16.261875,17.677,26.4945,16.61575,13.397375,86.6235,163.74875
223,18.37004167,16.38327083,17.71916667,26.33641667,16.591375,13.4334375,85.45658333,161.106875
224,18.36633333,16.50466667,17.76133333,26.17833333,16.567,13.4695,84.28966667,158.465
225,18.362625,16.6260625,17.8035,26.02025,16.542625,13.5055625,83.12275,155.823125
226,18.35891667,16.74745833,17.84566667,25.86216667,16.51825,13.541625,81.95583333,153.18125
227,18.35520833,16.86885417,17.88783333,25.70408333,16.493875,13.5776875,80.78891667,150.539375
228,18.3515,16.99025,17.93,25.546,16.4695,13.61375,79.622,147.8975
