time,2015,2016,2017,2018,2019,favorable,adverse
01-09 07:00,71874.0,51776.0,72207.0,75028.0,72954.0,45975.6,58514.40000000001
01-09 08:00,73907.0,55214.0,73806.0,75716.0,74299.0,48738.8,62031.200000000004
01-09 09:00,74364.0,57843.0,74363.0,75310.0,75187.0,51204.56,65169.44000000001
01-09 10:00,75105.0,59243.0,75141.0,75344.0,75946.0,52588.8,66931.20000000001
01-09 11:00,75452.0,60440.0,75397.0,75398.0,76584.0,53898.24,68597.76000000001
01-09 12:00,75053.0,60018.0,75465.0,75115.0,76029.0,53862.16,68551.84000000001
01-09 13:00,73682.0,58048.0,75507.0,74904.0,76058.0,53020.0,67480.0
01-09 14:00,71535.0,56639.0,74086.0,73212.0,75139.0,51782.72,65905.28000000001
01-09 15:00,71098.0,56136.0,73574.0,72713.0,74630.0,51432.48,65459.520000000004
01-09 16:00,72680.0,59368.0,74456.0,74352.0,75555.0,53401.04,67964.96
01-09 17:00,74193.0,62611.0,76544.0,76688.0,77233.0,55828.96,71055.04000000001
01-09 18:00,73579.0,62864.0,76095.0,76234.0,76515.0,55989.12,71258.88
01-09 19:00,71950.0,61589.0,75159.0,74879.0,75301.0,54334.72,69153.28000000001
01-09 20:00,67512.0,58542.0,72021.0,70962.0,71692.0,51859.28,66002.72
01-09 21:00,63800.0,55102.0,68237.0,67169.0,67875.0,48945.6,62294.40000000001
01-09 22:00,61199.0,54601.0,65746.0,64474.0,65068.0,48169.44,61306.560000000005
01-09 23:00,57093.0,52343.0,61737.0,59895.0,60513.0,46110.24,58685.76
01-10 00:00,53027.0,48115.0,58181.0,55804.0,57114.0,43734.24,55661.76
01-10 01:00,49661.0,45728.0,55657.0,52992.0,54576.0,41765.68,53156.32000000001
01-10 02:00,47752.0,44103.0,54471.0,51254.0,53134.0,40420.16,51443.840000000004
01-10 03:00,47429.0,43646.0,54453.0,51438.0,53219.0,39747.840000000004,50588.16
01-10 04:00,47377.0,43818.0,56151.0,53544.0,54459.0,40284.64,51271.36000000001
01-10 05:00,47602.0,43803.0,60336.0,57890.0,58263.0,40116.56,51057.44
01-10 06:00,49270.0,43161.0,69580.0,66941.0,66142.0,39864.0,50736.00000000001
01-10 07:00,53645.0,45738.0,74579.0,71862.0,70932.0,41422.48,52719.520000000004
01-10 08:00,57425.0,49447.0,75657.0,72493.0,72304.0,44617.76,56786.240000000005
01-10 09:00,60122.0,52424.0,75386.0,72198.0,72403.0,47842.08,60889.920000000006
01-10 10:00,61967.0,54719.0,75837.0,72135.0,73358.0,50042.96,63691.04000000001
01-10 11:00,63711.0,56892.0,76446.0,72531.0,73756.0,52348.56,66625.44
01-10 12:00,63565.0,56722.0,76181.0,72036.0,73381.0,52374.08,66657.92000000001
01-10 13:00,61942.0,54843.0,76197.0,71157.0,73267.0,51286.4,65273.600000000006
01-10 14:00,59974.0,53499.0,74703.0,70162.0,71837.0,49509.68,63012.32000000001
01-10 15:00,58662.0,53213.0,73923.0,69928.0,71620.0,49668.08,63213.920000000006
01-10 16:00,61317.0,56054.0,74814.0,72021.0,72541.0,52298.4,66561.6
01-10 17:00,64328.0,59491.0,77323.0,74207.0,74350.0,56026.96,71307.04000000001
01-10 18:00,64276.0,59826.0,76945.0,73745.0,73831.0,56139.6,71450.40000000001
01-10 19:00,62955.0,59060.0,76066.0,72762.0,72724.0,55459.36,70584.64000000001
01-10 20:00,59549.0,57339.0,72572.0,69365.0,69480.0,53508.4,68101.6
01-10 21:00,56005.0,54612.0,68563.0,65066.0,65629.0,51839.92,65978.08
01-10 22:00,55346.0,54930.0,66345.0,62222.0,63354.0,52018.56,66205.44
01-10 23:00,52768.0,51550.0,62031.0,57949.0,59445.0,49531.68,63040.32000000001
01-11 00:00,48881.0,48540.0,57527.0,54002.0,57090.0,47453.12,60394.880000000005
01-11 01:00,45842.0,46081.0,54907.0,51630.0,54586.0,46046.88,58605.12
01-11 02:00,44043.0,44942.0,53271.0,50302.0,53677.0,45590.16,58023.840000000004
01-11 03:00,43536.0,45760.0,53597.0,51138.0,54349.0,45364.0,57736.00000000001
01-11 04:00,43897.0,47965.0,55386.0,52911.0,56035.0,47356.32,60271.68000000001
01-11 05:00,43887.0,53903.0,60016.0,57152.0,60056.0,51400.8,65419.200000000004
01-11 06:00,43166.0,63959.0,68880.0,65885.0,68701.0,58427.6,74362.40000000001
01-11 07:00,45751.0,70183.0,74938.0,71380.0,73825.0,63707.6,81082.40000000001
01-11 08:00,49224.0,71569.0,76315.0,72095.0,75207.0,65553.84,83432.16
01-11 09:00,52957.0,78869.0,77208.0,71805.0,75971.0,66164.56,84209.44
01-11 10:00,56442.0,79670.0,77699.0,72348.0,76370.0,66840.4,85069.6
01-11 11:00,58991.0,80179.0,78400.0,72931.0,76862.0,68198.24,86797.76000000001
01-11 12:00,59136.0,73678.0,77756.0,72260.0,76568.0,67961.52,86496.48000000001
01-11 13:00,57512.0,73645.0,77653.0,72452.0,75563.0,67428.24,85817.76000000001
