,fit_capacity_factor_2015,fit_capacity_factor_2016,fit_capacity_factor_2017,fit_capacity_factor_2018,fit_capacity_factor_2019,fit_capacity_factor_2020
2001-01-12 7:00,0.630279824,0.282673476,0.549704243,0.057172751,0.353179097,0.42586349
2001-01-12 8:00,0.655802037,0.29006432,0.537593453,0.057743977,0.382700006,0.432150999
2001-01-12 9:00,0.689617753,0.296651129,0.522151996,0.054113039,0.399884783,0.419605507
2001-01-12 10:00,0.719181814,0.29872381,0.513665608,0.049412824,0.434574027,0.415600149
2001-01-12 11:00,0.739051032,0.306629696,0.517332196,0.045890758,0.456201431,0.473501077
2001-01-12 12:00,0.761652624,0.329851455,0.515207278,0.046311398,0.498090224,0.501197221
2001-01-12 13:00,0.764041449,0.3379558,0.49305344,0.050266025,0.532497438,0.487070892
2001-01-12 14:00,0.761094088,0.3318998,0.457293461,0.061042224,0.554865026,0.471045649
2001-01-12 15:00,0.751954457,0.337569287,0.414287418,0.079891004,0.547025595,0.466789101
2001-01-12 16:00,0.743499966,0.346240681,0.365098065,0.104796013,0.547619506,0.480159761
2001-01-12 17:00,0.740946731,0.360151103,0.31309883,0.122447632,0.548135716,0.501045991
2001-01-12 18:00,0.734656247,0.378222605,0.278414548,0.129745128,0.550176577,0.515108432
2001-01-12 19:00,0.724560555,0.385001951,0.260744311,0.13378016,0.547446631,0.510011452
2001-01-12 20:00,0.698333759,0.382282459,0.255758217,0.132773033,0.541396931,0.49930737
2001-01-12 21:00,0.669095514,0.370729273,0.256882153,0.13322635,0.526800972,0.485081078
2001-01-12 22:00,0.643386766,0.355161124,0.269114907,0.129893741,0.517420234,0.469912683
2001-01-12 23:00,0.618017697,0.343331725,0.307525935,0.126567693,0.507364644,0.4332538
2001-01-13 0:00,0.600316458,0.334374149,0.330676012,0.128870188,0.484445088,0.387688731
2001-01-13 1:00,0.577718844,0.331635355,0.384251631,0.130645606,0.462463585,0.336381227
