hour_of_year;2015;2016;2017;2018;2019;2020
678;76;62;113;121;112;84
679;76;62;113;121;112;84
680;76;62;113;121;112;84
681;76;62;113;121;112;84
682;76;62;113;121;112;84
683;76;62;113;121;112;84
684;76;62;113;121;112;84
685;76;62;113;121;112;84
686;76;62;113;121;112;84
687;76;62;113;121;112;84
688;76;62;113;121;112;84
689;76;62;113;121;112;84
690;76;62;113;121;112;84
691;76;62;113;121;112;84
692;76;62;113;121;112;84
693;76;62;113;121;112;84
694;76;62;113;121;112;84
695;76;62;113;121;112;84
696;76;61.33333333;113;121;112;84
697;76;61.33333333;113;121;112;84
698;76;61.33333333;113;121;112;84
699;76;61.33333333;113;121;112;84
700;76;61.33333333;113;121;112;84
701;76;61.33333333;113;121;112;84
702;76;61.33333333;113;121;112;84
703;76;61.33333333;113;121;112;84
704;76;61.33333333;113;121;112;84
705;76;61.33333333;113;121;112;84
706;76;61.33333333;113;121;112;84
707;76;61.33333333;113;121;112;84
708;76;61.33333333;113;121;112;84
709;76;61.33333333;113;121;112;84
710;76;61.33333333;113;121;112;84
711;76;61.33333333;113;121;112;84
712;76;61.33333333;113;121;112;84
713;76;61.33333333;113;121;112;84
714;76;61.33333333;113;121;112;84
715;76;61.33333333;113;121;112;84
716;76;61.33333333;113;121;112;84
717;76;61.33333333;113;121;112;84
718;76;61.33333333;113;121;112;84
719;76;61.33333333;113;121;112;84
720;76.66666667;60.66666667;113;121;112;84
721;76.66666667;60.66666667;113;121;112;84
722;76.66666667;60.66666667;113;121;112;84
723;76.66666667;60.66666667;113;121;112;84
724;76.66666667;60.66666667;113;121;112;84
725;76.66666667;60.66666667;113;121;112;84
726;76.66666667;60.66666667;113;121;112;84
727;76.66666667;60.66666667;113;121;112;84
728;76.66666667;60.66666667;113;121;112;84
729;76.66666667;60.66666667;113;121;112;84
730;76.66666667;60.66666667;113;121;112;84
731;76.66666667;60.66666667;113;121;112;84
732;76.66666667;60.66666667;113;121;112;84
733;76.66666667;60.66666667;113;121;112;84
734;76.66666667;60.66666667;113;121;112;84
735;76.66666667;60.66666667;113;121;112;84
736;76.66666667;60.66666667;113;121;112;84
737;76.66666667;60.66666667;113;121;112;84
738;76.66666667;60.66666667;113;121;112;84
739;76.66666667;60.66666667;113;121;112;84
740;76.66666667;60.66666667;113;121;112;84
741;76.66666667;60.66666667;113;121;112;84
742;76.66666667;60.66666667;113;121;112;84
743;76.66666667;60.66666667;113;121;112;84
744;77.33333333;60;114;110;108;84.33333333
745;77.33333333;60;114;110;108;84.33333333
746;77.33333333;60;114;110;108;84.33333333
747;77.33333333;60;114;110;108;84.33333333
748;77.33333333;60;114;110;108;84.33333333
749;77.33333333;60;114;110;108;84.33333333
750;77.33333333;60;114;110;108;84.33333333
751;77.33333333;60;114;110;108;84.33333333
752;77.33333333;60;114;110;108;84.33333333
753;77.33333333;60;114;110;108;84.33333333
754;77.33333333;60;114;110;108;84.33333333
755;77.33333333;60;114;110;108;84.33333333
756;77.33333333;60;114;110;108;84.33333333
757;77.33333333;60;114;110;108;84.33333333
758;77.33333333;60;114;110;108;84.33333333
759;77.33333333;60;114;110;108;84.33333333
760;77.33333333;60;114;110;108;84.33333333
761;77.33333333;60;114;110;108;84.33333333
762;77.33333333;60;114;110;108;84.33333333
763;77.33333333;60;114;110;108;84.33333333
764;77.33333333;60;114;110;108;84.33333333
765;77.33333333;60;114;110;108;84.33333333
766;77.33333333;60;114;110;108;84.33333333
767;77.33333333;60;114;110;108;84.33333333
768;78;60;114;110;108;84.66666667
769;78;60;114;110;108;84.66666667
770;78;60;114;110;108;84.66666667
771;78;60;114;110;108;84.66666667
772;78;60;114;110;108;84.66666667
773;78;60;114;110;108;84.66666667
774;78;60;114;110;108;84.66666667
775;78;60;114;110;108;84.66666667
776;78;60;114;110;108;84.66666667
777;78;60;114;110;108;84.66666667
778;78;60;114;110;108;84.66666667
779;78;60;114;110;108;84.66666667
780;78;60;114;110;108;84.66666667
781;78;60;114;110;108;84.66666667
782;78;60;114;110;108;84.66666667
783;78;60;114;110;108;84.66666667
784;78;60;114;110;108;84.66666667
785;78;60;114;110;108;84.66666667
786;78;60;114;110;108;84.66666667
787;78;60;114;110;108;84.66666667
788;78;60;114;110;108;84.66666667
789;78;60;114;110;108;84.66666667
790;78;60;114;110;108;84.66666667
791;78;60;114;110;108;84.66666667
792;78;60;114;110;108;85
793;78;60;114;110;108;85
794;78;60;114;110;108;85
795;78;60;114;110;108;85
796;78;60;114;110;108;85
797;78;60;114;110;108;85
798;78;60;114;110;108;85
799;78;60;114;110;108;85
800;78;60;114;110;108;85
801;78;60;114;110;108;85
802;78;60;114;110;108;85
803;78;60;114;110;108;85
804;78;60;114;110;108;85
805;78;60;114;110;108;85
806;78;60;114;110;108;85
807;78;60;114;110;108;85
808;78;60;114;110;108;85
809;78;60;114;110;108;85
810;78;60;114;110;108;85
811;78;60;114;110;108;85
812;78;60;114;110;108;85
813;78;60;114;110;108;85
814;78;60;114;110;108;85
815;78;60;114;110;108;85
816;78;60;114;110;108;85
817;78;60;114;110;108;85
818;78;60;114;110;108;85
819;78;60;114;110;108;85
820;78;60;114;110;108;85
821;78;60;114;110;108;85
822;78;60;114;110;108;85
823;78;60;114;110;108;85
824;78;60;114;110;108;85
825;78;60;114;110;108;85
826;78;60;114;110;108;85
827;78;60;114;110;108;85
828;78;60;114;110;108;85
829;78;60;114;110;108;85
830;78;60;114;110;108;85
831;78;60;114;110;108;85
832;78;60;114;110;108;85
833;78;60;114;110;108;85
834;78;60;114;110;108;85
835;78;60;114;110;108;85
836;78;60;114;110;108;85
837;78;60;114;110;108;85
838;78;60;114;110;108;85
839;78;60;114;110;108;85
840;78;60;114;110;108;85
841;78;60;114;110;108;85
842;78;60;114;110;108;85
843;78;60;114;110;108;85
844;78;60;114;110;108;85
845;78;60;114;110;108;85
846;78;60;114;110;108;85
847;78;60;114;110;108;85
848;78;60;114;110;108;85
849;78;60;114;110;108;85
850;78;60;114;110;108;85
851;78;60;114;110;108;85
852;78;60;114;110;108;85
853;78;60;114;110;108;85
854;78;60;114;110;108;85
855;78;60;114;110;108;85
856;78;60;114;110;108;85
857;78;60;114;110;108;85
858;78;60;114;110;108;85
859;78;60;114;110;108;85
860;78;60;114;110;108;85
861;78;60;114;110;108;85
862;78;60;114;110;108;85
863;78;60;114;110;108;85
864;78;60;114;110;108;85
865;78;60;114;110;108;85
866;78;60;114;110;108;85
867;78;60;114;110;108;85
868;78;60;114;110;108;85
869;78;60;114;110;108;85
870;78;60;114;110;108;85
871;78;60;114;110;108;85
872;78;60;114;110;108;85
873;78;60;114;110;108;85
874;78;60;114;110;108;85
875;78;60;114;110;108;85
876;78;60;114;110;108;85
877;78;60;114;110;108;85
878;78;60;114;110;108;85
879;78;60;114;110;108;85
880;78;60;114;110;108;85
881;78;60;114;110;108;85
882;78;60;114;110;108;85
883;78;60;114;110;108;85
884;78;60;114;110;108;85
885;78;60;114;110;108;85
886;78;60;114;110;108;85
887;78;60;114;110;108;85
888;78;60;114;110;108;85
889;78;60;114;110;108;85
890;78;60;114;110;108;85
891;78;60;114;110;108;85
892;78;60;114;110;108;85
893;78;60;114;110;108;85
894;78;60;114;110;108;85
895;78;60;114;110;108;85
896;78;60;114;110;108;85
897;78;60;114;110;108;85
898;78;60;114;110;108;85
899;78;60;114;110;108;85
900;78;60;114;110;108;85
901;78;60;114;110;108;85
902;78;60;114;110;108;85
903;78;60;114;110;108;85
904;78;60;114;110;108;85
905;78;60;114;110;108;85
906;78;60;114;110;108;85
907;78;60;114;110;108;85
908;78;60;114;110;108;85
909;78;60;114;110;108;85
910;78;60;114;110;108;85
911;78;60;114;110;108;85
912;78;60;114;110;108;85
913;78;60;114;110;108;85
914;78;60;114;110;108;85
915;78;60;114;110;108;85
916;78;60;114;110;108;85
917;78;60;114;110;108;85
918;78;60;114;110;108;85
919;78;60;114;110;108;85
920;78;60;114;110;108;85
921;78;60;114;110;108;85
922;78;60;114;110;108;85
923;78;60;114;110;108;85
924;78;60;114;110;108;85
925;78;60;114;110;108;85
926;78;60;114;110;108;85
927;78;60;114;110;108;85
928;78;60;114;110;108;85
929;78;60;114;110;108;85
930;78;60;114;110;108;85
931;78;60;114;110;108;85
932;78;60;114;110;108;85
933;78;60;114;110;108;85
934;78;60;114;110;108;85
935;78;60;114;110;108;85
936;78;60;114;110;108;85
937;78;60;114;110;108;85
938;78;60;114;110;108;85
939;78;60;114;110;108;85
940;78;60;114;110;108;85
941;78;60;114;110;108;85
942;78;60;114;110;108;85
943;78;60;114;110;108;85
944;78;60;114;110;108;85
945;78;60;114;110;108;85
946;78;60;114;110;108;85
947;78;60;114;110;108;85
948;78;60;114;110;108;85
949;78;60;114;110;108;85
950;78;60;114;110;108;85
